instance,algorithm,preset,seed,gd_fixed,igd_fixed,hv_fixed,spread_proxy
A-n32-k5,NSGA2,thorough,1000,163.6019332755757,208.1173714181667,47608.47114571999,9.506046011411161
A-n32-k5,NSGA2,thorough,1001,201.15989470309012,163.21081263130407,42181.61369098399,9.949367499973057
A-n32-k5,NSGA2,thorough,1002,151.3552305156632,129.0639949517435,36228.53007246573,19.178300999186437
A-n32-k5,NSGA2,thorough,1003,200.49063286484747,105.96488416397102,32551.97299536383,22.585220854272002
A-n32-k5,NSGA2,thorough,1004,143.7575363935577,98.80411234991168,25623.579747633223,31.64075970856279
A-n32-k5,NSGA2,thorough,1005,218.1455455697066,217.1266769837268,49067.35365644577,5.52295276250969
A-n32-k5,NSGA2,thorough,1006,165.86747604635943,119.39552452773692,34700.05984330063,18.0017569640465
A-n32-k5,NSGA2,thorough,1007,117.56035765417687,159.03612398291173,41563.87081580546,10.191708704652486
A-n32-k5,NSGA2,thorough,1008,166.73678140594762,96.93229429604092,26583.23138065565,28.631838288225413
A-n32-k5,NSGA2,thorough,1009,182.8227950678335,170.9748474991038,43037.54784806362,12.246329559005977
A-n32-k5,NSGA2,thorough,1010,194.18467917178359,198.53125578521622,46309.4290220197,6.756247543439369
A-n32-k5,NSGA2,thorough,1011,117.94397831442988,72.20560448522556,22918.644741863132,19.503511546519718
A-n32-k5,NSGA2,thorough,1012,182.40422450865313,132.87517613485326,37164.07585585356,14.481077397327649
A-n32-k5,NSGA2,thorough,1013,238.69076675811183,322.79166746022435,59105.06167042813,3.590344526413455
A-n32-k5,NSGA2,thorough,1014,37.55622261926466,83.70993513670935,18930.37224237586,32.79447503622205
A-n32-k5,NSGA2,thorough,1015,134.38207526910486,75.31943870456686,23825.432166194816,20.020516323040106
A-n32-k5,NSGA2,thorough,1016,152.70156741248428,153.6193335339757,40797.05589658941,9.086015253720443
A-n32-k5,NSGA2,thorough,1017,153.10740565599184,161.8528489035618,41641.66670565537,10.575365362480005
A-n32-k5,NSGA2,thorough,1018,160.00673902104995,101.88602014361342,31459.05157482668,17.23751041204468
A-n32-k5,NSGA2,thorough,1019,118.32152373609314,59.3068336406239,16982.614536604924,21.99292652790919
A-n32-k5,VEGA,thorough,1000,19.52637829057697,42.5505729184814,19954.147948250964,17.18931013153579
A-n32-k5,VEGA,thorough,1001,37.192976007236766,61.842816217147025,19497.38628704481,61.27902862458783
A-n32-k5,VEGA,thorough,1002,19.066786036359453,39.40905589458109,16361.530498411415,35.134706410731646
A-n32-k5,VEGA,thorough,1003,29.80399488547953,69.88106175303756,27236.89145088313,14.450125199774178
A-n32-k5,VEGA,thorough,1004,40.15014945989268,54.311217885161795,15483.367892270951,54.30997631704127
A-n32-k5,VEGA,thorough,1005,53.2181109894087,91.00907768371157,26731.267281051696,0.0
A-n32-k5,VEGA,thorough,1006,33.661996121545386,99.71794291536837,31243.558970759506,3.9244880639151334
A-n32-k5,VEGA,thorough,1007,27.968164915852604,58.860823712912264,18848.04313001205,49.429202403583126
A-n32-k5,VEGA,thorough,1008,17.290508355222148,34.10964517014549,14562.801983203035,23.30635731055703
A-n32-k5,VEGA,thorough,1009,35.43794505693066,87.53944450227237,28447.68208290518,3.79530093771137
A-n32-k5,VEGA,thorough,1010,24.344547311140293,47.0368908798002,10259.489745889645,1.1379415329242306
A-n32-k5,VEGA,thorough,1011,25.301201549666317,58.75497058833578,22809.97707416666,43.15033027949385
A-n32-k5,VEGA,thorough,1012,9.676824792699039,23.57737169290003,9637.633762156931,45.34809773085627
A-n32-k5,VEGA,thorough,1013,22.786790107554996,51.928065520825015,11323.787606082049,71.63862382246985
A-n32-k5,VEGA,thorough,1014,18.562118491224773,39.53066654369396,9146.826535923396,56.320779483863554
A-n32-k5,VEGA,thorough,1015,26.95019928948972,60.04278601938707,20693.51875002576,53.196070741143245
A-n32-k5,VEGA,thorough,1016,40.86996475244273,87.03577789917209,25197.00482201885,39.04144274217873
A-n32-k5,VEGA,thorough,1017,38.33290530190334,54.1990231453697,7469.0335824622,79.20243445011536
A-n32-k5,VEGA,thorough,1018,33.09798812696458,101.55360821226841,32267.894871502114,7.706936316260293
A-n32-k5,VEGA,thorough,1019,7.878635682834768,31.597567463176,6089.690897702865,74.52722504193135
A-n36-k5,NSGA2,thorough,1000,137.80346570642274,199.03336798859385,62898.568016909725,9.254506159157197
A-n36-k5,NSGA2,thorough,1001,191.66047665631925,216.0672854381608,66615.4517502904,7.620773213838654
A-n36-k5,NSGA2,thorough,1002,179.33950475766437,74.94759380625231,36514.03973369271,21.015501226817843
A-n36-k5,NSGA2,thorough,1003,140.4067556055765,227.1503541201718,67602.22911491206,5.841207598821028
A-n36-k5,NSGA2,thorough,1004,185.54595615594707,162.94883596241422,59349.53904870313,16.266210275184065
A-n36-k5,NSGA2,thorough,1005,195.9541483901171,185.51521026371844,61878.76132437891,8.658008862849764
A-n36-k5,NSGA2,thorough,1006,123.53740815782513,98.85026989163421,44519.634300634374,19.048403375909743
A-n36-k5,NSGA2,thorough,1007,124.94028732499976,124.42861868131664,51861.51616584618,13.095180979726774
A-n36-k5,NSGA2,thorough,1008,174.4095644484062,218.64807810870246,67165.5509386494,5.758487187411851
A-n36-k5,NSGA2,thorough,1009,152.23949520551022,100.68987724837538,41911.549027282206,24.882723626666913
A-n36-k5,NSGA2,thorough,1010,207.59127599996384,268.1140985080524,72759.78530984608,6.338566029362496
A-n36-k5,NSGA2,thorough,1011,199.2083308870245,259.95686410207446,71298.49486116382,4.853438018753303
A-n36-k5,NSGA2,thorough,1012,73.69372086521582,149.8506186539098,57742.76406816877,7.9265557473837065
A-n36-k5,NSGA2,thorough,1013,180.92292060679046,216.74770526793566,66658.92466873383,7.117386671354845
A-n36-k5,NSGA2,thorough,1014,78.86707316095915,66.04888217485332,27668.902928736516,31.295193927219387
A-n36-k5,NSGA2,thorough,1015,157.05667952818538,93.00456330205994,42241.09590324529,25.15041005660289
A-n36-k5,NSGA2,thorough,1016,188.47867392749012,173.6707682385202,60028.42685347414,13.924352870744295
A-n36-k5,NSGA2,thorough,1017,117.87714537064998,99.68287758944902,45033.85482175965,20.885407430067588
A-n36-k5,NSGA2,thorough,1018,200.5298021972082,226.0550088934503,66791.64736175553,9.320867918082143
A-n36-k5,NSGA2,thorough,1019,64.20407100180094,104.17444520001024,47459.50779565613,12.434032792065087
A-n36-k5,VEGA,thorough,1000,15.189460736554732,68.46723259375536,40883.76051515123,40.64196508038519
A-n36-k5,VEGA,thorough,1001,60.97426329932245,137.28234448507627,50071.17508126444,18.96783850162013
A-n36-k5,VEGA,thorough,1002,34.809017413753665,69.47611626195047,38542.71062068031,24.58374890948172
A-n36-k5,VEGA,thorough,1003,13.73892163338403,65.81797136215671,36945.41077432085,31.05285705093971
A-n36-k5,VEGA,thorough,1004,46.88482290793678,134.75342473644193,50560.10426366945,22.249593703207793
A-n36-k5,VEGA,thorough,1005,94.00059988953976,112.95659152885666,44888.08744343673,56.646966965115254
A-n36-k5,VEGA,thorough,1006,16.832748797953474,37.80013481303776,25669.901849320733,48.27529574439726
A-n36-k5,VEGA,thorough,1007,46.19419403758977,145.07633046988323,48398.35960253407,0.0
A-n36-k5,VEGA,thorough,1008,22.103160325966375,48.76900758221767,28610.227560607927,48.442831965192724
A-n36-k5,VEGA,thorough,1009,31.541778160452473,51.02531940348036,29520.676340477377,45.1248240592423
A-n36-k5,VEGA,thorough,1010,19.916195253444748,59.63331088587454,32576.922137343045,36.06477790286139
A-n36-k5,VEGA,thorough,1011,39.345279093621926,89.68645204037492,8515.625585407055,159.1184465363478
A-n36-k5,VEGA,thorough,1012,47.94291008375057,103.48016597269897,43791.24474472144,52.450228885089196
A-n36-k5,VEGA,thorough,1013,12.548531638699284,67.3604249122845,34484.46054078459,31.31845730334912
A-n36-k5,VEGA,thorough,1014,66.55503497973834,60.42879220454894,31055.309338858428,33.08137763171879
A-n36-k5,VEGA,thorough,1015,11.554442234122632,97.92914994565481,46269.27376482201,12.536941838814096
A-n36-k5,VEGA,thorough,1016,22.770195127539864,120.90630792227593,45813.86446289796,0.0
A-n36-k5,VEGA,thorough,1017,19.63191081475836,34.982836179941984,24036.3674990661,33.38931476861554
A-n36-k5,VEGA,thorough,1018,21.24139761218288,53.680361686912576,30940.356949370103,15.121244977245347
A-n36-k5,VEGA,thorough,1019,8.889694229445169,25.48381955109367,25474.72458134224,31.562992435918172
