instance,algorithm,preset,wall_clock_s mean,wall_clock_s std,evaluations mean,evaluations std
A-n32-k5,NSGA2,balanced,9.407037138938904,0.041911669096203245,16100.0,25.45584412271571
A-n32-k5,NSGA2,fast,9.644383072853088,0.45597781890747824,16138.5,68.58935777509511
A-n32-k5,VEGA,balanced,9.603414058685303,0.053457039602489466,16572.0,29.698484809834994
A-n32-k5,VEGA,fast,9.599364995956421,0.026509356188988083,16731.0,35.35533905932738
A-n36-k5,NSGA2,balanced,10.940840125083923,0.133315033699597,16288.5,24.748737341529164
A-n36-k5,NSGA2,fast,10.698516607284546,0.08778244455412583,16163.5,12.020815280171307
A-n36-k5,VEGA,balanced,10.77550995349884,0.08213493544106007,16689.0,49.49747468305833
A-n36-k5,VEGA,fast,11.040075063705444,0.15663555933025083,16734.5,28.991378028648448
B-n45-k6,NSGA2,balanced,12.319701910018921,0.2255584692875099,12734.5,116.67261889578035
B-n45-k6,NSGA2,fast,12.272839069366455,0.1159823951305829,12636.0,127.27922061357856
B-n45-k6,VEGA,balanced,13.021602869033813,0.026225117842630614,12097.0,0.0
B-n45-k6,VEGA,fast,13.048884391784668,0.008287756291182202,12091.0,2.8284271247461903
B-n57-k7,NSGA2,balanced,17.657540559768677,0.058413508987370605,12080.0,0.0
B-n57-k7,NSGA2,fast,17.770295023918152,0.033583451830450584,12080.0,0.0
B-n57-k7,VEGA,balanced,17.619651794433594,0.056927579696270526,12080.0,0.0
B-n57-k7,VEGA,fast,17.653833508491516,0.03140631422377184,12080.0,0.0
