instance,algorithm,preset,wall_clock_s mean,wall_clock_s std,evaluations mean,evaluations std,gd mean,gd std,igd mean,igd std,spread mean,spread std,hv mean,hv std
A-n32-k5,NSGA2,balanced,9.407037138938904,0.041911669096203245,16100.0,25.45584412271571,130.849861476564,71.79486192012106,92.73430317365151,0.7974388915265099,1.171897971632061,0.0665388641440509,24150.66847402441,16224.568804533803
A-n32-k5,NSGA2,fast,9.644383072853088,0.45597781890747824,16138.5,68.58935777509511,178.85466827422755,16.964255310243164,198.63337459454368,4.265134257845546,1.072549729027843,0.043036363629348595,52831.5759946537,1107.7389212260916
A-n32-k5,VEGA,balanced,9.603414058685303,0.053457039602489466,16572.0,29.698484809834994,17.17221103676338,7.075057373353451,50.67322890686696,6.953407880180154,0.7139786430953721,0.017424649319431263,23919.307387957604,2777.528042486162
A-n32-k5,VEGA,fast,9.599364995956421,0.026509356188988083,16731.0,35.35533905932738,15.725574274700266,22.239320415386565,24.082380081490065,20.87001431663469,0.659713101063182,0.20527589135002136,12409.857453605488,7143.693625664462
A-n36-k5,NSGA2,balanced,10.940840125083923,0.133315033699597,16288.5,24.748737341529164,79.15263048725423,28.179360116285114,82.50631280471475,12.542743341583776,1.2530644340333708,0.01709564329999607,18341.688530993102,1554.337939674379
A-n36-k5,NSGA2,fast,10.698516607284546,0.08778244455412583,16163.5,12.020815280171307,148.48121388435865,52.57248629425541,178.2923300710348,5.794235938727152,1.1271302615614345,0.07230403741009546,27264.715220624174,537.8240975280216
A-n36-k5,VEGA,balanced,10.77550995349884,0.08213493544106007,16689.0,49.49747468305833,13.364800591517694,18.900682254936285,16.311556025135726,23.068023754155515,0.37097103490076955,0.07331589804536678,5940.8830777012445,2518.1630994578322
A-n36-k5,VEGA,fast,11.040075063705444,0.15663555933025083,16734.5,28.991378028648448,50.02113505241641,7.311908061029037,56.77548809132449,2.090991996456307,0.7721733592483838,0.3650151338303477,10462.855705746824,254.90660878598004
B-n45-k6,NSGA2,balanced,12.319701910018921,0.2255584692875099,12734.5,116.67261889578035,1414212738.4152894,37.61677845522282,1414212640.373983,153.50696841955624,1.0000000270416505,2.3885888484190877e-08,1.1024986309007418e+18,227946370489.51898
B-n45-k6,NSGA2,fast,12.272839069366455,0.1159823951305829,12636.0,127.27922061357856,1414212677.8729634,72.24076508440818,1414212650.4601939,96.58685208722004,1.0000000487116742,1.6024493558477565e-08,1.1024986458780052e+18,143424259478.6325
B-n45-k6,VEGA,balanced,13.021602869033813,0.026225117842630614,12097.0,0.0,707106095.6140411,999999030.4540634,707106095.6140411,999999030.4540634,0.0,0.0,5.524989819764366e+17,7.778160196024721e+17
B-n45-k6,VEGA,fast,13.048884391784668,0.008287756291182202,12091.0,2.8284271247461903,0.0,0.0,0.0,0.0,0.0,0.0,2500000000000000.0,0.0
B-n57-k7,NSGA2,balanced,17.657540559768677,0.058413508987370605,12080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000000000000.0,0.0
B-n57-k7,NSGA2,fast,17.770295023918152,0.033583451830450584,12080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000000000000.0,0.0
B-n57-k7,VEGA,balanced,17.619651794433594,0.056927579696270526,12080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000000000000.0,0.0
B-n57-k7,VEGA,fast,17.653833508491516,0.03140631422377184,12080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000000000000.0,0.0
