instance,algorithm,preset,seed,gd_fixed,igd_fixed,hv_fixed,spread_proxy
A-n32-k5,NSGA2,balanced,1000,257.6983742059371,114.84565698644218,24348.05190323057,52.15114096196298
A-n32-k5,NSGA2,balanced,1001,281.61628395572586,178.27805637361297,49288.43553431957,12.687336214615021
A-n32-k5,NSGA2,balanced,1002,274.2234924692314,106.32118716630666,16863.452486234222,46.80461413008402
A-n32-k5,NSGA2,balanced,1003,251.33854267356858,153.5006973281461,45052.099931662044,18.554195710513593
A-n32-k5,NSGA2,balanced,1004,238.58835532382008,88.33978123900889,26195.713089340254,37.65101144767137
A-n32-k5,NSGA2,balanced,1005,276.0839502107005,151.91029802037548,44661.43847795081,23.92662419723017
A-n32-k5,NSGA2,balanced,1006,261.8278091022841,163.12571832178986,45885.7545313322,19.452974957501944
A-n32-k5,NSGA2,balanced,1007,218.24290374720908,109.7640477832825,34649.0962296023,49.23474761243264
A-n32-k5,NSGA2,balanced,1008,268.26810214800065,175.71115718477768,48670.52953632492,14.802958899814339
A-n32-k5,NSGA2,balanced,1009,133.36801864705998,101.10027880445938,30426.51921614472,41.519925320303834
A-n32-k5,NSGA2,balanced,1010,257.50523732587254,111.64716268784485,26086.462134328885,36.95726000630888
A-n32-k5,NSGA2,balanced,1011,276.39810258843534,245.85167536093152,57748.45118801748,12.759117535290631
A-n32-k5,NSGA2,balanced,1012,86.45583878771147,45.59023393789985,9345.881710549576,55.081905451640246
A-n32-k5,NSGA2,balanced,1013,174.81193925707092,89.95426050571056,24536.87840021409,38.16498070509549
A-n32-k5,NSGA2,balanced,1014,171.32345777256123,94.12512113634668,25445.63669781302,54.083063907959705
A-n32-k5,NSGA2,balanced,1015,268.7745687231144,144.2984954972216,43333.49092167547,24.657283898023138
A-n32-k5,NSGA2,balanced,1016,254.0953452708114,290.43596808159344,63437.61526567448,11.468175495147205
A-n32-k5,NSGA2,balanced,1017,284.7559281359126,92.52231206107686,31125.67179542927,20.523576346631348
A-n32-k5,NSGA2,balanced,1018,274.92064840832165,285.4127590621564,62225.94689716126,5.529935598375898
A-n32-k5,NSGA2,balanced,1019,274.3633969117221,109.83103987216924,32735.524787253373,35.764668254400675
A-n32-k5,VEGA,balanced,1000,38.57353073237245,130.4813942296815,41521.77474445416,18.910410559635526
A-n32-k5,VEGA,balanced,1001,42.011289299769984,72.25196597326331,26029.95363467635,32.65403147645352
A-n32-k5,VEGA,balanced,1003,10.262822660496285,54.49185888650369,23504.103794363255,40.69439156229543
A-n32-k5,VEGA,balanced,1004,10.635938412651367,34.00634748174915,17161.20693554016,23.595934408211328
A-n32-k5,VEGA,balanced,1005,31.565832705234538,61.15512224781789,22273.048249298063,23.11901868058736
A-n32-k5,VEGA,balanced,1006,54.75317539261658,40.89953461137767,13966.601101603348,27.760752603849788
A-n32-k5,VEGA,balanced,1007,36.177135196904004,37.97982694958186,12789.10197270913,44.106585077508555
A-n32-k5,VEGA,balanced,1008,32.08474879112692,66.48472536674537,25707.651533598084,17.686068284351283
A-n32-k5,VEGA,balanced,1009,48.36037795355619,83.52808113034372,27911.24500238715,28.939712503703852
A-n32-k5,VEGA,balanced,1010,64.50767272505956,71.05735207696624,22340.740555975797,16.56488584358143
A-n32-k5,VEGA,balanced,1011,52.84234835457355,93.72077683465491,28486.71147482842,70.60529870723337
A-n32-k5,VEGA,balanced,1012,47.71237670388414,109.32512431846023,35978.992992533524,42.385548528335185
A-n32-k5,VEGA,balanced,1013,21.774954940347897,122.27555456719602,36318.02146348658,3.2492238012894514
A-n32-k5,VEGA,balanced,1014,114.68886047822116,145.65576666865783,39477.02190301846,33.52698601879063
A-n32-k5,VEGA,balanced,1015,19.853787234130348,60.566030293775114,20653.34456006718,42.7155373214653
A-n32-k5,VEGA,balanced,1016,72.86179133858957,90.07076161165713,28982.631335710474,24.227529329059376
A-n32-k5,VEGA,balanced,1017,65.21948404809012,69.69701953776205,19754.315283819786,44.67626367737434
A-n32-k5,VEGA,balanced,1018,28.133609261582862,97.39306805933396,33159.0503373693,34.12948943806368
A-n32-k5,VEGA,balanced,1019,7.719622077340304,72.20954169844849,25286.539681746337,42.141282010992
A-n36-k5,NSGA2,balanced,1000,71.88524233000672,77.31553986750538,7447.948117391079,53.11343519926729
A-n36-k5,NSGA2,balanced,1001,67.63140284502325,180.51498047291975,25991.18694191123,11.355582054897933
A-n36-k5,NSGA2,balanced,1002,54.70414574970468,54.99601096932399,12844.42298954689,25.283318684357223
